ts,has_bbox,conf,cx,cy,w,h,active_zone,zone_timer_sec,fps_receiver,fps_infer,fps_stream,jitter_px
1767349034.7707953,0,0.0000,0.00,0.00,0,0,,0.00,64.32,5.52,7.37,0.00
1767349034.9081845,0,0.0000,0.00,0.00,0,0,,0.00,64.32,5.52,7.37,0.00
1767349035.1569078,0,0.0000,0.00,0.00,0,0,,0.00,64.32,5.52,7.37,0.00
1767349035.3171804,0,0.0000,0.00,0.00,0,0,,0.00,64.32,5.52,7.37,0.00
1767349035.5642,0,0.0000,0.00,0.00,0,0,,0.00,64.32,4.77,7.37,0.00
1767349035.6977284,0,0.0000,0.00,0.00,0,0,,0.00,64.32,4.77,7.64,0.00
1767349035.8333817,0,0.0000,0.00,0.00,0,0,,0.00,61.96,4.77,7.64,0.00
1767349035.9600427,0,0.0000,0.00,0.00,0,0,,0.00,61.96,4.77,7.64,0.00
1767349036.1138577,0,0.0000,0.00,0.00,0,0,,0.00,61.96,4.77,7.64,0.00
1767349036.2419438,0,0.0000,0.00,0.00,0,0,,0.00,61.96,4.77,7.64,0.00
1767349036.368131,0,0.0000,0.00,0.00,0,0,,0.00,61.96,4.77,7.64,0.00
1767349036.505755,0,0.0000,0.00,0.00,0,0,,0.00,61.96,4.77,7.64,0.00
1767349036.633128,0,0.0000,0.00,0.00,0,0,,0.00,61.96,7.48,11.83,0.00
1767349036.7827034,0,0.0000,0.00,0.00,0,0,,0.00,61.96,7.48,11.83,0.00
1767349036.9085932,0,0.0000,0.00,0.00,0,0,,0.00,54.37,7.48,11.83,0.00
1767349037.0397406,0,0.0000,0.00,0.00,0,0,,0.00,54.37,7.48,11.83,0.00
1767349037.1736877,0,0.0000,0.00,0.00,0,0,,0.00,54.37,7.48,11.83,0.00
1767349037.3001792,0,0.0000,0.00,0.00,0,0,,0.00,54.37,7.48,11.83,0.00
1767349037.4263234,0,0.0000,0.00,0.00,0,0,,0.00,54.37,7.48,11.83,0.00
1767349037.5627794,0,0.0000,0.00,0.00,0,0,,0.00,54.37,7.48,11.83,0.00
